,Coefficients
Average Career Age,0.0
Career Att/G,-0.0
Career Rush Yds/G,0.0
Career Rush TD/G,1.8218625336870518
Career Rush 1D/G,9.486073416245942
Career Rush Lng,6.827970062868724
Career Yds/Att,-2.8402726394853706
Career Tgt/G,-0.0
Career Rec/G,0.0
Career Rec Yds/G,0.7958125775737318
Career Yds/Rec,-0.0
Career Rec TD/G,0.0
Career Rec 1D/G,15.047560359446408
Career Rec Lng,1.2437632439616177
Career Catch %,1.239566531148519
Career Yds/Tgt,-0.0
Career Touch/G,-0.0
Career Yds/Tch,2.798512678014916
Career Scrim Yds/G,0.0
Career TOT TDs/G,1.9178546825024845
Career Fmb/G,-4.897225861120092
Last Season Age,-8.5059988788059
Last Season Att/G,0.0
Last Season Rush Yds/G,0.0
Last Season Rush TD/G,-0.0
Last Season Rush 1D/G,-1.9305762156055364
Last Season Rush Lng,0.0
Last Season Yds/Att,1.4911186808326868
Last Season Tgt/G,1.746981077645035
Last Season Rec/G,10.055936120338625
Last Season Rec Yds/G,0.0
Last Season Yds/Rec,-2.3597558202909417
Last Season Rec TD/G,0.0
Last Season Rec 1D/G,2.128977402234572
Last Season Rec Lng,4.6808014564893154
Last Season Catch %,-1.5152976552126263
Last Season Yds/Tgt,-0.6779956177114607
Last Season Touch/G,0.0
Last Season Yds/Tch,-0.3633056784360615
Last Season Scrim Yds/G,28.00889357427063
Last Season TOT TDs/G,-0.0
Last Season Fmb/G,0.0
